"Category","White","African-American","Latino","Asian","Other"
"Players","27.4","69.7","0.8","1.9","0.2"
"League office","71.6","9.5","8.0","9.2","1.7"
"Head coaches","75","21.9","0","3.1","0"
"CEO/President","100","0","0","0","0"
